,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),220.66,-0.26,-2.89,207.01,-0.58,-4.06,248.22,-0.24,-2.81
World Government Bond Index (WGBI),719.51,-0.27,-2.52,861.37,-0.68,-4.20,859.21,-0.25,-2.42
World Government Bond Index - Developed Markets (WGBI  DM),714.35,-0.28,-2.58,859.51,-0.69,-4.28,860.69,-0.26,-2.47
World Government Bond Index - Extended (WGBI Extended),731.10,-0.25,-2.40,875.33,-0.61,-4.06,863.73,-0.23,-2.31
World Inflation-Linked Securities Index (WorldILSI),183.74,-1.11,-4.15,150.21,-1.54,-5.69,186.67,-1.06,-4.02
US Broad Investment-Grade Bond Index (USBIG),"1,716.31",-0.07,-2.68,"1,716.31",-0.07,-2.68,"1,716.31",-0.07,-2.68
US Treasury Index,"1,500.43",-0.04,-2.05,"1,500.43",-0.04,-2.05,"1,500.43",-0.04,-2.05
US High-Yield Market Index,"1,087.07",-0.45,-5.31,"1,087.07",-0.45,-5.31,"1,087.07",-0.45,-5.31
US High-Yield Cash Pay Index,"1,065.27",-0.45,-5.29,"1,065.27",-0.45,-5.29,"1,065.27",-0.45,-5.29
US High-Yield Market Capped Index,376.20,-0.45,-5.31,376.20,-0.45,-5.31,376.20,-0.45,-5.31
US High-Yield Cash Pay Capped Index,372.76,-0.46,-5.29,372.76,-0.46,-5.29,372.76,-0.46,-5.29
LATAM Government Bond Index (LATAMGBI),218.64,-0.20,-1.10,101.42,-0.11,-5.74,137.11,-0.21,-1.54
Euro Broad Investment-Grade Bond Index (EuroBIG),215.70,-0.61,-3.72,193.13,-1.39,-5.50,255.41,-0.57,-3.50
EMU Government Bond Index (EGBI),219.04,-0.64,-3.54,196.13,-1.42,-5.33,258.96,-0.60,-3.33
Eurodollar Bond Index,406.40,-0.07,-3.14,406.40,-0.07,-3.14,406.40,-0.07,-3.14
Eurosterling Bond Index,495.07,-0.74,-3.43,386.03,-1.58,-6.53,436.88,-0.69,-3.30
Euroyen Bond Index,184.31,-0.12,-0.61,134.95,-0.91,-6.16,369.35,-0.11,-0.46
CEEMEA Government Bond Index (CEEMEAGBI),143.18,-0.13,-2.42,66.29,-0.87,-5.12,98.54,-0.12,-2.72
Middle East and North Africa Broad Bond Index (MENABBI),153.83,-0.04,-3.35,153.83,-0.04,-3.35,153.83,-0.04,-3.35
Asian Government Bond Index (AGBI),191.37,0.03,-0.84,156.33,0.09,-2.20,164.16,0.03,-0.85
Asian Government Extended Bond Index (AGBI-Extended),181.38,0.04,-0.50,179.09,-0.04,-1.91,140.99,0.03,-0.57
AsiaPac Government Bond Index (APGBI),191.99,0.05,-0.99,152.06,0.07,-2.57,160.47,0.05,-0.99
Asian Broad Bond Index (ABBI),199.38,-0.06,-2.60,199.38,-0.06,-2.60,199.38,-0.06,-2.60
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.04,0.01,-0.09,139.45,0.02,-0.54,131.24,0.01,-0.15
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),153.96,0.01,-0.09,139.38,0.02,-0.55,131.18,0.01,-0.16
Dim Sum (Offshore CNY) Bond Index,149.88,-0.02,0.04,147.06,-0.31,-0.37,117.82,-0.02,-0.05
Australian Broad Investment-Grade Bond Index (AusBIG),288.07,0.10,-2.45,332.09,-0.19,-5.88,184.76,0.11,-2.31
Emerging Markets Government Bond Index (EMGBI),244.76,-0.04,-0.50,128.74,-0.09,-1.92,152.02,-0.04,-0.63
Emerging Markets Inflation-Linked Securities Index (EMILSI),480.70,-0.56,-0.11,167.35,-0.73,-6.23,200.30,-0.55,-0.96
Emerging Markets US Dollar Government Bond Index EMUSDGBI),741.40,-0.44,-6.08,741.40,-0.44,-6.08,741.40,-0.44,-6.08
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),789.84,-0.51,-6.13,789.84,-0.51,-6.13,789.84,-0.51,-6.13
Debt Capacity World Government Bond Index (DCWGBI),166.00,-0.32,-2.61,147.38,-0.77,-4.49,176.91,-0.30,-2.51
Time-Weighted US Fallen Angel Bond Index,733.03,-0.37,-5.06,733.03,-0.37,-5.06,733.03,-0.37,-5.06
